Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
316,Geoffrey Kondogbia,cf CTA,MF,es Atlético Madrid,29-241,1993,1.5,0,6,0,0.0,4.00,0.00,0.00,,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,cce181df
317,Yukhym Konoplia,ua UKR,DF,ua Shakhtar,23-049,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,aee634bf
318,Jan Kopic,cz CZE,FW,cz Viktoria Plzeň,32-132,1990,0.9,0,2,0,0.0,2.22,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,6f639ec7
319,Odilon Kossonou,ci CIV,DF,de Leverkusen,21-283,2001,2.8,0,3,0,0.0,1.09,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,1f3afdcb
320,Filip Kostić,rs SRB,DFMF,it Juventus,29-347,1992,3.0,0,4,1,25.0,1.34,0.33,0.00,0.00,14.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,b1cd37e6
321,Kalidou Koulibaly,sn SEN,DF,eng Chelsea,31-116,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da974c7b
322,Jules Koundé,fr FRA,DF,es Barcelona,23-336,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4d1666ff
323,Mateo Kovačić,hr CRO,MF,eng Chelsea,28-161,1994,3.2,0,2,0,0.0,0.62,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,79c0821a
324,Toni Kroos,de GER,MF,es Real Madrid,32-283,1990,3.1,0,4,0,0.0,1.29,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,6ce1f46f
325,Rade Krunić,ba BIH,MFFW,it Milan,29-007,1993,1.9,0,1,0,0.0,0.54,0.00,0.00,,7.0,0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches,817c6964
326,Serhiy Kryvtsov,ua UKR,DF,ua Shakhtar,31-213,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,292a652a
327,Dejan Kulusevski,se SWE,DFFW,eng Tottenham,22-172,2000,0.5,0,2,0,0.0,3.67,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,df3cda47
328,Khvicha Kvaratskhelia,ge GEO,FWMF,it Napoli,21-244,2001,3.2,2,16,4,25.0,5.07,1.27,0.06,0.25,18.9,0,1,1,2.7,1.9,0.12,-0.7,-0.9,Matches,dea88efd
329,Konrad Laimer,at AUT,MF,de RB Leipzig,25-140,1997,0.9,0,2,0,0.0,2.22,0.00,0.00,,8.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,c1b7847c
330,Érik Lamela,ar ARG,FW,es Sevilla,30-224,1992,2.3,0,2,1,50.0,0.87,0.43,0.00,0.00,12.7,0,0,0,0.6,0.6,0.29,-0.6,-0.6,Matches,abe66106
331,Aymeric Laporte,es ESP,DF,eng Manchester City,28-140,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,119b9a8e
332,Rasmus Lauritsen,dk DEN,DF,hr Dinamo Zagreb,26-229,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b929ec2
333,Neta Lavi,il ISR,MF,il Maccabi Haifa,26-050,1996,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da9018ca
334,Rafael Leão,pt POR,FW,it Milan,23-126,1999,3.7,0,5,0,0.0,1.36,0.00,0.00,,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,20730eae
335,Thomas Lemar,fr FRA,MF,es Atlético Madrid,26-336,1995,1.2,0,1,0,0.0,0.87,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,4dbd0916
336,Clément Lenglet,fr FRA,DF,eng Tottenham,27-119,1995,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f28a6ff
337,Christopher Lenz,de GER,DF,de Eint Frankfurt,28-022,1994,1.3,0,1,0,0.0,0.79,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bbd86530
338,Lukas Lerager,dk DEN,MF,dk FC Copenhagen,29-094,1993,3.0,0,4,3,75.0,1.33,1.00,0.00,0.00,16.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,1b82f8df
339,Robert Lewandowski,pl POL,FW,es Barcelona,34-054,1988,4.0,5,22,10,45.5,5.50,2.50,0.23,0.50,13.3,1,0,0,2.3,2.3,0.11,+2.7,+2.7,Matches,8d78e732
340,Rico Lewis,eng ENG,DF,eng Manchester City,17-327,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b57e066e
341,Matthijs de Ligt,nl NED,DF,de Bayern Munich,23-063,1999,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d6e53a3a
342,Jesper Lindstrøm,dk DEN,MFFW,de Eint Frankfurt,22-227,2000,3.6,1,9,4,44.4,2.48,1.10,0.11,0.25,15.0,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches,37dc1a48
343,Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,27-278,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58f077c0
344,Robert Ljubicic,at AUT,DF,hr Dinamo Zagreb,23-092,1999,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,20.1,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,99a8ddc9
