Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
429,Alex Telles,br BRA,DF,Sevilla,29-304,1992,3.5,0,2,0,0.0,0.57,0.00,0.00,,24.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,e73c9bb2
430,Marc-André ter Stegen,de GER,GK,Barcelona,30-168,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6f51e382
431,Ramón Terrats,es ESP,MF,Girona,21-362,2000,1.5,0,3,0,0.0,2.01,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,f36016a5
432,Ferrán Torres,es ESP,FWMF,Barcelona,22-228,2000,2.8,0,12,3,25.0,4.35,1.09,0.00,0.00,16.7,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,9e1035f8
433,Óliver Torres,es ESP,MFFW,Sevilla,27-339,1994,4.9,3,6,3,50.0,1.23,0.62,0.50,1.00,15.7,0,0,0,0.8,0.8,0.13,+2.2,+2.2,Matches,58a9a4d9
434,Pau Torres,es ESP,DF,Villarreal,25-272,1997,8.0,0,4,0,0.0,0.50,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches,532e1e4f
435,Roberto Torres,es ESP,FW,Osasuna,33-222,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d733aa38
436,Lucas Torró,es ESP,MF,Osasuna,28-088,1994,7.4,0,9,1,11.1,1.21,0.13,0.00,0.00,18.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,0e4fef6e
437,Nabil Touaizi,ma MAR,FW,Espanyol,21-256,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e96b2583
438,Óscar Trejo,ar ARG,MF,Rayo Vallecano,34-172,1988,7.6,1,4,2,50.0,0.52,0.26,0.25,0.50,18.6,0,0,1,1.3,0.5,0.12,-0.3,+0.5,Matches,fc647b34
439,Beñat Turrientes,es ESP,MF,Real Sociedad,20-257,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,068f4dec
440,Enes Ünal,tr TUR,FW,Getafe,25-158,1997,8.6,2,20,6,30.0,2.34,0.70,0.10,0.33,16.2,3,0,1,2.8,2.1,0.10,-0.8,-0.1,Matches,f8eca1b6
441,Oscar Ureña,es ESP,MFFW,Girona,19-287,2003,1.1,0,1,1,100.0,0.90,0.90,0.00,0.00,16.0,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches,2dd7e29d
