Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
343,Tommaso Pobega,it ITA,MF,Milan,23-092,1999,2.6,0,4,1,25.0,1.53,0.38,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,55a1cac2
344,Matteo Politano,it ITA,FWMF,Napoli,29-073,1993,4.7,3,16,3,18.8,3.39,0.64,0.06,0.33,20.9,1,2,2,2.3,0.8,0.05,+0.7,+0.2,Matches,5e861944
345,Marin Pongračić,hr CRO,DF,Lecce,25-034,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a6cd437
346,Stefan Posch,at AUT,DF,Bologna,25-154,1997,2.0,0,2,0,0.0,1.00,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,7f609bfc
347,Ivan Provedel,it ITA,GK,Lazio,28-212,1994,8.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,277da414
348,Ignacio Pussetto,ar ARG,FWMF,Sampdoria,26-298,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,62437b4f
349,Fabio Quagliarella,it ITA,FW,Sampdoria,39-257,1983,2.9,0,13,3,23.1,4.48,1.03,0.00,0.00,16.2,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches,ee4f2f3b
350,Giacomo Quagliata,it ITA,DF,Cremonese,22-238,2000,2.8,0,4,1,25.0,1.42,0.35,0.00,0.00,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,1b9c7401
351,Adrien Rabiot,fr FRA,MF,Juventus,27-195,1995,4.4,0,6,2,33.3,1.38,0.46,0.00,0.00,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,8794e251
352,Nemanja Radonjić,rs SRB,FWMF,Torino,26-242,1996,5.3,1,19,6,31.6,3.57,1.13,0.05,0.17,14.9,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches,0630eb63
353,Ivan Radovanović,rs SRB,MF,Salernitana,34-047,1988,2.0,0,4,0,0.0,2.01,0.00,0.00,,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,023937a9
354,Ionuț Radu,ro ROU,GK,Cremonese,25-140,1997,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,67f649be
355,Luca Ranieri,it ITA,DF,Fiorentina,23-175,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8c63fae5
356,Andrea Ranocchia,it ITA,DF,Monza,34-241,1988,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,539230cf
357,Filippo Ranocchia,it ITA,MF,Monza,21-154,2001,1.4,0,5,3,60.0,3.54,2.13,0.00,0.00,28.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,d9ebed1c
358,Giacomo Raspadori,it ITA,FWMF,Napoli,22-239,2000,4.3,1,14,8,57.1,3.26,1.87,0.07,0.13,16.7,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches,6e058f06
359,Giacomo Raspadori,it ITA,FWMF,Sassuolo,22-239,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6e058f06
360,Ante Rebić,hr CRO,FW,Milan,29-024,1993,1.9,3,4,3,75.0,2.09,1.57,0.75,1.00,12.0,0,0,0,0.9,0.9,0.23,+2.1,+2.1,Matches,536cebe5
361,Arkadiusz Reca,pl POL,DF,Spezia,27-120,1995,6.6,0,4,1,25.0,0.61,0.15,0.00,0.00,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6213fd82
362,Panagiotis Retsos,gr GRE,DF,Hellas Verona,24-067,1998,1.4,0,1,0,0.0,0.74,0.00,0.00,,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,4bd00a50
363,Franck Ribéry,fr FRA,MF,Salernitana,39-191,1983,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f61c7c4e
364,Samuele Ricci,it ITA,MF,Torino,21-055,2001,3.3,0,4,1,25.0,1.23,0.31,0.00,0.00,22.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,9823be92
365,Tomás Rincón,ve VEN,MF,Sampdoria,34-275,1988,8.7,0,7,2,28.6,0.80,0.23,0.00,0.00,20.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,f1cfc209
366,Pablo Rodríguez,es ESP,FWMF,Lecce,21-072,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d4e63b6
367,Ricardo Rodríguez,ch SUI,DF,Torino,30-051,1992,7.8,0,4,1,25.0,0.51,0.13,0.00,0.00,22.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,7f78ad23
368,Rogério,br BRA,DF,Sassuolo,24-275,1998,9.0,0,2,0,0.0,0.22,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,10e7f486
369,Alessio Romagnoli,it ITA,DF,Lazio,27-276,1995,7.3,1,3,2,66.7,0.41,0.28,0.33,0.50,13.6,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,3ead85f9
370,Marten de Roon,nl NED,MF,Atalanta,31-200,1991,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a1beb34
371,Nicolò Rovella,it ITA,MF,Monza,20-315,2001,4.6,0,5,1,20.0,1.10,0.22,0.00,0.00,22.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,e58cbfd5
372,Nicolò Rovella,it ITA,MF,Juventus,20-315,2001,0.3,0,2,0,0.0,6.67,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,e58cbfd5
373,Amir Rrahmani,xk KVX,DF,Napoli,28-233,1994,7.9,0,9,0,0.0,1.14,0.00,0.00,,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,4b3e1a38
374,Ruan,br BRA,DF,Sassuolo,23-130,1999,0.5,0,1,0,0.0,2.00,0.00,0.00,,10.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,a378a02a
