Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls▼,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
66,Leon Bailey,jm JAM,FWMF,Aston Villa,25-065,1997,5.4,1,9,3,33.3,1.66,0.55,0.11,0.33,16.0,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,3a233281
67,Rodrigo Bentancur,uy URU,MF,Tottenham,25-110,1997,7.8,1,4,3,75.0,0.51,0.38,0.25,0.33,20.0,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,3b8674e6
68,Armando Broja,al ALB,FW,Chelsea,21-033,2001,1.2,1,4,4,100.0,3.33,3.33,0.25,0.25,11.3,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,97220da2
69,Emi Buendía,ar ARG,FWMF,Aston Villa,25-292,1996,4.3,1,7,3,42.9,1.63,0.70,0.14,0.33,15.8,1,0,0,1.4,1.4,0.20,-0.4,-0.4,Matches,66b76d44
70,Moisés Caicedo,ec ECU,MF,Brighton,20-345,2001,7.8,1,6,3,50.0,0.77,0.38,0.17,0.33,23.0,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,16264a81
71,Timothy Castagne,be BEL,DF,Leicester City,26-312,1995,7.2,1,3,2,66.7,0.41,0.28,0.33,0.50,6.9,0,0,0,0.4,0.4,0.12,+0.6,+0.6,Matches,197640fd
72,Ben Chilwell,eng ENG,DF,Chelsea,25-296,1996,2.4,1,2,1,50.0,0.85,0.42,0.50,1.00,12.4,0,0,0,0.2,0.2,0.10,+0.8,+0.8,Matches,d2424d1b
73,Ryan Christie,sct SCO,MFFW,Bournemouth,27-233,1995,5.6,1,12,4,33.3,2.15,0.72,0.08,0.25,14.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches,26ce2263
74,Conor Coady,eng ENG,DF,Everton,29-230,1993,7.9,1,2,1,50.0,0.25,0.13,0.50,1.00,5.0,0,0,0,0.7,0.7,0.35,+0.3,+0.3,Matches,2928dca2
75,Kevin De Bruyne,be BEL,MF,Manchester City,31-107,1991,7.6,1,22,7,31.8,2.91,0.93,0.05,0.14,20.9,2,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches,e46012d4
76,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,24-332,1997,1.8,1,7,1,14.3,3.87,0.55,0.14,1.00,17.1,2,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,2c44a35d
77,Kiernan Dewsbury-Hall,eng ENG,MFFW,Leicester City,24-037,1998,7.8,1,9,2,22.2,1.15,0.26,0.11,0.50,22.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,5c74c0f5
78,Gabriel Dos Santos,br BRA,DF,Arsenal,24-298,1997,9.0,1,9,2,22.2,1.00,0.22,0.11,0.50,15.2,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches,67ac5bb8
79,Harvey Elliott,eng ENG,MF,Liverpool,19-192,2003,5.2,1,12,4,33.3,2.33,0.78,0.08,0.25,17.1,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,c8387671
80,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-106,1998,7.1,1,13,4,30.8,1.83,0.56,0.08,0.25,25.4,3,0,0,1.0,1.0,0.08,0.0,0.0,Matches,ae4fc6a4
81,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-035,1994,8.0,1,13,5,38.5,1.63,0.63,0.08,0.20,20.7,1,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches,507c7bdf
82,Pablo Fornals,es ESP,FWMF,West Ham,26-233,1996,7.6,1,12,4,33.3,1.58,0.53,0.08,0.25,23.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,82927de4
83,Conor Gallagher,eng ENG,MFFW,Chelsea,22-249,2000,2.8,1,5,1,20.0,1.76,0.35,0.20,1.00,22.8,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,c2731c10
84,Demarai Gray,eng ENG,FW,Everton,26-107,1996,8.8,1,20,8,40.0,2.28,0.91,0.05,0.13,19.1,3,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches,4468ec10
85,Jack Grealish,eng ENG,FW,Manchester City,27-033,1995,3.5,1,5,2,40.0,1.42,0.57,0.20,0.50,14.2,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches,b0b4fd3e
86,Jack Harrison,eng ENG,FWMF,Leeds United,25-327,1996,7.0,1,6,4,66.7,0.86,0.57,0.17,0.25,18.8,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches,aa849a12
87,Kelechi Iheanacho,ng NGA,FW,Leicester City,26-010,1996,2.1,1,7,1,14.3,3.37,0.48,0.14,1.00,19.4,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Matches,c92e1a31
88,Danny Ings,eng ENG,FW,Aston Villa,30-082,1992,3.3,1,9,3,33.3,2.76,0.92,0.11,0.33,19.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,07802f7f
89,Alex Iwobi,ng NGA,MF,Everton,26-163,1996,9.0,1,8,2,25.0,0.89,0.22,0.13,0.50,26.0,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,6ca5ec4b
90,Reece James,eng ENG,DF,Chelsea,22-309,1999,6.2,1,7,2,28.6,1.13,0.32,0.14,0.50,20.8,1,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,1265a93a
91,Vitaly Janelt,de GER,MFDF,Brentford,24-156,1998,5.8,1,4,2,50.0,0.69,0.34,0.25,0.50,7.0,0,0,0,1.1,1.1,0.27,-0.1,-0.1,Matches,8449d35e
92,Mathias Jensen,dk DEN,MF,Brentford,26-285,1996,7.6,1,5,1,20.0,0.65,0.13,0.20,1.00,22.8,1,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,0f134faf
93,Jorginho,it ITA,MF,Chelsea,30-297,1991,5.7,1,2,1,50.0,0.35,0.17,0.00,0.00,28.5,0,1,1,0.9,0.1,0.04,+0.1,-0.1,Matches,45db685d
94,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-115,1991,5.7,1,7,3,42.9,1.22,0.52,0.14,0.33,12.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,da974c7b
95,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,32-296,1989,3.5,1,3,3,100.0,0.87,0.87,0.33,0.33,13.4,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,8d3c902d
96,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-171,2000,5.5,1,10,1,10.0,1.80,0.18,0.10,1.00,16.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,df3cda47
97,Roméo Lavia,be BEL,MF,Southampton,18-280,2004,4.7,1,4,2,50.0,0.86,0.43,0.25,0.50,22.6,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,ecad9aa5
98,Jefferson Lerma,co COL,MFDF,Bournemouth,27-353,1994,9.0,1,7,1,14.3,0.78,0.11,0.14,1.00,16.1,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,9b5ce51a
99,Sean Longstaff,eng ENG,MF,Newcastle Utd,24-348,1997,5.7,1,6,2,33.3,1.05,0.35,0.17,0.50,14.4,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,a2b105e0
100,Douglas Luiz,br BRA,MF,Aston Villa,24-157,1998,4.7,1,4,1,25.0,0.84,0.21,0.25,1.00,25.2,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,6f7d826d
101,Riyad Mahrez,dz ALG,FWMF,Manchester City,31-234,1991,3.5,1,10,3,30.0,2.89,0.87,0.10,0.33,17.3,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches,892d5bb1
102,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-107,1997,2.2,1,10,4,40.0,4.55,1.82,0.10,0.25,13.3,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches,50e6dc35
103,Neal Maupay,fr FRA,FW,Everton,26-060,1996,3.9,1,10,3,30.0,2.58,0.77,0.10,0.33,11.8,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,4bcf39f6
104,Dwight McNeil,eng ENG,FW,Everton,22-325,1999,5.1,1,8,2,25.0,1.58,0.40,0.13,0.50,16.4,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,fc15fb84
105,Ben Mee,eng ENG,DF,Brentford,33-022,1989,8.4,1,7,1,14.3,0.83,0.12,0.14,1.00,7.6,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Matches,8df7a2fb
106,Kieffer Moore,wls WAL,FW,Bournemouth,30-066,1992,5.0,1,5,3,60.0,1.01,0.60,0.20,0.33,12.8,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches,01ce9e70
107,Jacob Murphy,eng ENG,FW,Newcastle Utd,27-231,1995,2.8,1,9,5,55.6,3.18,1.76,0.11,0.20,15.4,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches,de112b84
108,Rúben Neves,pt POR,MFDF,Wolves,25-214,1997,8.0,1,13,2,15.4,1.62,0.25,0.08,0.50,28.4,4,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,44bfb6c5
109,Christian Nørgaard,dk DEN,MF,Brentford,28-217,1994,3.4,1,5,3,60.0,1.46,0.87,0.20,0.33,12.8,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches,df0a4c90
110,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23-364,1998,5.4,1,6,2,33.3,1.11,0.37,0.17,0.50,23.2,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches,089667a5
111,Thomas Partey,gh GHA,MF,Arsenal,29-122,1993,5.7,1,6,1,16.7,1.06,0.18,0.17,1.00,19.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,529f49ab
112,Andreas Pereira,br BRA,MF,Fulham,26-285,1996,8.1,1,12,5,41.7,1.49,0.62,0.08,0.20,22.8,5,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,6639e500
113,Christian Pulisic,us USA,FWMF,Chelsea,24-025,1998,2.6,1,6,2,33.3,2.27,0.76,0.17,0.50,14.3,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,1bf33a9a
114,Jacob Ramsey,eng ENG,MF,Aston Villa,21-138,2001,7.3,1,7,3,42.9,0.96,0.41,0.14,0.33,19.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,1544f145
115,Harrison Reed,eng ENG,MF,Fulham,27-259,1995,8.8,1,5,1,20.0,0.57,0.11,0.20,1.00,18.5,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,803ae100
116,Marc Roca,es ESP,MF,Leeds United,25-321,1996,6.6,1,8,4,50.0,1.22,0.61,0.13,0.25,17.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,da27e268
117,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-250,1985,3.0,1,15,4,26.7,4.93,1.31,0.07,0.25,16.5,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,dea698d9
118,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25-215,1997,3.9,1,12,5,41.7,3.04,1.27,0.08,0.20,17.9,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,2b16cb1a
119,Fabian Schär,ch SUI,DF,Newcastle Utd,30-297,1991,7.9,1,11,2,18.2,1.39,0.25,0.09,0.50,20.0,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,c8aa95da
120,Ryan Sessegnon,eng ENG,DF,Tottenham,22-148,2000,4.9,1,10,5,50.0,2.03,1.02,0.10,0.20,14.9,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,6aa3e78b
121,Dominic Solanke,eng ENG,FW,Bournemouth,25-029,1997,6.5,1,10,5,50.0,1.55,0.77,0.10,0.20,13.8,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,e77dc3b2
122,Tomáš Souček,cz CZE,MF,West Ham,27-228,1995,9.0,1,11,5,45.5,1.22,0.56,0.09,0.20,9.2,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,6613c819
123,Pascal Struijk,nl NED,DF,Leeds United,23-063,1999,8.0,1,5,3,60.0,0.62,0.37,0.20,0.33,12.5,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,f4d296e4
124,Youri Tielemans,be BEL,MF,Leicester City,25-159,1997,7.5,1,8,3,37.5,1.07,0.40,0.00,0.00,27.9,0,1,1,1.0,0.2,0.03,0.0,-0.2,Matches,56f7a928
125,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-024,1990,8.8,1,5,2,40.0,0.57,0.23,0.20,0.50,25.3,5,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,21512407
126,Virgil van Dijk,nl NED,DF,Liverpool,31-097,1991,8.0,1,10,3,30.0,1.25,0.37,0.10,0.33,12.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,e06683ca
127,Fabio Vieira,pt POR,MF,Arsenal,22-136,2000,1.3,1,4,2,50.0,3.05,1.53,0.25,0.50,22.4,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches,6412cc03
128,Kyle Walker-Peters,eng ENG,DF,Southampton,25-183,1997,8.9,1,5,2,40.0,0.56,0.23,0.20,0.50,15.0,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches,984a5a64
129,James Ward-Prowse,eng ENG,MF,Southampton,27-346,1994,9.0,1,9,2,22.2,1.00,0.22,0.11,0.50,23.6,3,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,3515d404
130,Ollie Watkins,eng ENG,FW,Aston Villa,26-287,1995,8.3,1,15,9,60.0,1.81,1.09,0.07,0.11,11.1,0,0,0,2.1,2.1,0.14,-1.1,-1.1,Matches,aed3a70f
131,Ashley Young,eng ENG,DF,Aston Villa,37-096,1985,3.7,1,4,1,25.0,1.07,0.27,0.25,1.00,27.4,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches,be927d03
132,Tyler Adams,us USA,MF,Leeds United,23-241,1999,8.0,0,2,0,0.0,0.25,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2b09d998
133,Rayan Aït Nouri,fr FRA,DF,Wolves,21-129,2001,6.2,0,4,2,50.0,0.64,0.32,0.00,0.00,14.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,9b398aea
134,Kristoffer Ajer,no NOR,DF,Brentford,24-179,1998,2.7,0,1,0,0.0,0.37,0.00,0.00,,5.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,a8c0acb7
135,Manuel Akanji,ch SUI,DF,Manchester City,27-086,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,12.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,89ac64a6
136,Nathan Aké,nl NED,DF,Manchester City,27-237,1995,4.3,0,3,0,0.0,0.69,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,eaeca114
137,Marc Albrighton,eng ENG,MF,Leicester City,32-329,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b827d5b3
138,Thiago Alcántara,es ESP,MF,Liverpool,31-185,1991,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,77e84962
139,Alisson,br BRA,GK,Liverpool,30-011,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
140,Dele Alli,eng ENG,FWMF,Everton,26-185,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cea4ee8f
141,Daniel Amartey,gh GHA,DF,Leicester City,27-296,1994,4.2,0,1,0,0.0,0.24,0.00,0.00,,38.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,1a4ef233
142,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,19-341,2002,0.8,0,3,0,0.0,3.65,0.00,0.00,,10.7,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches,de31038e
143,Cameron Archer,eng ENG,FWMF,Aston Villa,20-308,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,05e8ca6d
144,Alphonse Areola,fr FRA,GK,West Ham,29-228,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2f965a72
145,Stuart Armstrong,sct SCO,MFFW,Southampton,30-197,1992,4.0,0,8,1,12.5,1.98,0.25,0.00,0.00,19.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,97333cf5
146,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-010,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
147,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-175,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9fec8860
148,Serge Aurier,ci CIV,DF,Nott'ham Forest,29-293,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c2b4f07
149,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-032,1991,6.1,0,5,3,60.0,0.81,0.49,0.00,0.00,15.2,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches,da052c14
150,Luke Ayling,eng ENG,DF,Leeds United,31-049,1991,0.6,0,1,0,0.0,1.76,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,420d7c7d
151,César Azpilicueta,es ESP,DF,Chelsea,33-046,1989,3.5,0,1,0,0.0,0.29,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,53cad200
152,Stefan Bajcetic,es ESP,MF,Liverpool,17-356,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32e8417f
153,Patrick Bamford,eng ENG,FW,Leeds United,29-038,1993,2.8,0,10,4,40.0,3.54,1.42,0.00,0.00,14.2,0,0,0,1.8,1.8,0.18,-1.8,-1.8,Matches,93feac6e
154,Shandon Baptiste,gd GRN,MF,Brentford,24-188,1998,4.1,0,2,1,50.0,0.49,0.25,0.00,0.00,17.6,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,2886c9b5
155,Gavin Bazunu,ie IRL,GK,Southampton,20-235,2002,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c91441dc
156,Mads Bech Sørensen,dk DEN,DF,Brentford,23-279,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,30db8574
157,Jan Bednarek,pl POL,DF,Southampton,26-184,1996,1.8,0,1,0,0.0,0.57,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,4115ce4e
158,Jan Bednarek,pl POL,DF,Aston Villa,26-184,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4115ce4e
159,Donny van de Beek,nl NED,MF,Manchester Utd,25-178,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,50dc94ce
160,Asmir Begović,ba BIH,GK,Everton,35-115,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b4de647
161,Armel Bella Kotchap,de GER,DF,Southampton,20-306,2001,8.0,0,10,1,10.0,1.25,0.12,0.00,0.00,17.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,a39d11bc
162,Saïd Benrahma,dz ALG,MFFW,West Ham,27-064,1995,4.0,0,10,3,30.0,2.53,0.76,0.00,0.00,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,5a04fd92
163,Owen Bevan,wls WAL,DF,Bournemouth,18-352,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,87966294
164,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-196,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de40e38c
165,Yves Bissouma,ml MLI,MF,Tottenham,26-044,1996,2.6,0,2,0,0.0,0.78,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,6c203af0
166,Willy Boly,ci CIV,DF,Nott'ham Forest,31-252,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a4ac4b8f
167,Sven Botman,nl NED,DF,Newcastle Utd,22-274,2000,6.0,0,7,2,28.6,1.16,0.33,0.00,0.00,10.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,ccce7025
168,Dan Burn,eng ENG,DF,Newcastle Utd,30-157,1992,7.7,0,7,2,28.6,0.90,0.26,0.00,0.00,10.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,b2d31e83
169,Cafú,pt POR,MF,Nott'ham Forest,29-229,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,85322440
170,Tom Cairney,sct SCO,MF,Fulham,31-266,1991,1.8,0,4,0,0.0,2.25,0.00,0.00,,17.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,a8748947
171,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-026,1996,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,9.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches,94f8d10c
172,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-211,1997,0.2,0,1,0,0.0,6.00,0.00,0.00,,5.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,59e6e5bf
173,Chem Campbell,wls WAL,FWMF,Wolves,19-287,2002,0.5,0,2,0,0.0,3.67,0.00,0.00,,13.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6f711f67
174,Diego Carlos,br BRA,DF,Aston Villa,29-212,1993,2.0,0,4,0,0.0,2.01,0.00,0.00,,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,b4a014b1
175,Casemiro,br BRA,MF,Manchester Utd,30-232,1992,2.0,0,3,1,33.3,1.53,0.51,0.00,0.00,24.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,4d224fe8
176,Matty Cash,pl POL,DF,Aston Villa,25-067,1997,6.3,0,3,0,0.0,0.48,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2389cdc2
177,Jonny Castro,es ESP,DF,Wolves,28-224,1994,8.6,0,8,1,12.5,0.93,0.12,0.00,0.00,21.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,e28868f3
178,Nathaniel Chalobah,eng ENG,MF,Fulham,27-305,1994,0.1,0,1,1,100.0,8.18,8.18,0.00,0.00,10.2,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,422862ea
179,Trevoh Chalobah,eng ENG,DF,Chelsea,23-100,1999,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,11.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,5515376c
180,Calum Chambers,eng ENG,DF,Aston Villa,27-266,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc6f5bdd
181,Carney Chukwuemeka,eng ENG,MF,Chelsea,18-358,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b2f9c73e
182,Bobby Clark,eng ENG,MF,Liverpool,17-248,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73341ace
183,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-191,1991,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0442183b
184,Jack Colback,eng ENG,MF,Nott'ham Forest,32-354,1989,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,963a9201
185,Séamus Coleman,ie IRL,DF,Everton,34-002,1988,1.8,0,1,0,0.0,0.55,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,0420d84f
186,Nathan Collins,ie IRL,DF,Wolves,21-166,2001,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a8c19eb8
187,Levi Colwill,eng ENG,DF,Brighton,19-229,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,700783e7
188,Lewis Cook,eng ENG,MF,Bournemouth,25-252,1997,7.3,0,2,0,0.0,0.28,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2afc7272
189,Steve Cook,eng ENG,DF,Nott'ham Forest,31-177,1991,5.6,0,1,0,0.0,0.18,0.00,0.00,,16.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,3e5e4e63
190,Liam Cooper,sct SCO,DF,Leeds United,31-044,1991,2.0,0,1,0,0.0,0.50,0.00,0.00,,10.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,dc64b8b3
191,Maxwel Cornet,ci CIV,FW,West Ham,26-016,1996,1.0,0,4,1,25.0,3.96,0.99,0.00,0.00,9.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,beb391dd
192,Diego Costa,es ESP,FW,Wolves,34-006,1988,1.0,0,1,0,0.0,1.01,0.00,0.00,,6.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,a190d597
193,Vladimír Coufal,cz CZE,DF,West Ham,30-052,1992,6.6,0,2,0,0.0,0.30,0.00,0.00,,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,fdf3cb77
194,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-123,1992,5.6,0,14,5,35.7,2.50,0.89,0.00,0.00,19.4,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,0ef89a37
195,Conor Coventry,ie IRL,MF,West Ham,22-202,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ca9127
196,Aaron Cresswell,eng ENG,DF,West Ham,32-302,1989,7.8,0,4,0,0.0,0.51,0.00,0.00,,20.8,2,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,4f974391
197,Marc Cucurella,es ESP,DF,Chelsea,24-083,1998,6.0,0,4,0,0.0,0.67,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,1daec722
198,Diogo Dalot,pt POR,DF,Manchester Utd,23-209,1999,7.9,0,5,3,60.0,0.63,0.38,0.00,0.00,18.8,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,d9565625
199,Mikkel Damsgaard,dk DEN,FWMF,Brentford,22-102,2000,1.7,0,3,3,100.0,1.78,1.78,0.00,0.00,16.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,215f3907
200,Ben Davies,wls WAL,DF,Tottenham,29-172,1993,5.9,0,3,2,66.7,0.50,0.34,0.00,0.00,17.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,44781702
201,Tom Davies,eng ENG,MF,Everton,24-105,1998,3.3,0,5,0,0.0,1.54,0.00,0.00,,17.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,9228b07c
