Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls▼,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
414,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23-342,1998,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3af9be1
415,James Tomkins,eng ENG,DF,Crystal Palace,33-198,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e7ca0439
416,Adama Traoré,es ESP,FWMF,Wolves,26-261,1996,2.2,0,2,0,0.0,0.92,0.00,0.00,,18.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,9a28eba4
417,Boubacar Traoré,ml MLI,MF,Wolves,21-054,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,999ceb5f
418,Mark Travers,ie IRL,GK,Bournemouth,23-148,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fe558029
419,Kostas Tsimikas,gr GRE,DF,Liverpool,26-154,1996,3.1,0,3,0,0.0,0.96,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,f315ca93
420,Deniz Undav,de GER,MFFW,Brighton,26-086,1996,0.2,0,1,0,0.0,4.50,0.00,0.00,,10.0,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches,dd549382
421,Yan Valery,tn TUN,DF,Southampton,23-233,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,531a4aa8
422,Raphaël Varane,fr FRA,DF,Manchester Utd,29-171,1993,4.9,0,1,0,0.0,0.20,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,9f8e9423
423,Jamie Vardy,eng ENG,FW,Leicester City,35-275,1987,5.8,0,9,2,22.2,1.56,0.35,0.00,0.00,14.3,0,0,0,1.2,1.2,0.14,-1.2,-1.2,Matches,45963054
424,Joël Veltman,nl NED,DF,Brighton,30-271,1992,7.4,0,1,0,0.0,0.13,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,dad4b285
425,Rúben Vinagre,pt POR,DF,Everton,23-187,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b937e490
426,Carlos Vinícius,br BRA,FW,Fulham,27-202,1995,1.7,0,2,0,0.0,1.19,0.00,0.00,,12.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,8b529245
427,Kyle Walker,eng ENG,DF,Manchester City,32-138,1990,6.2,0,1,0,0.0,0.16,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches,86dd77d1
428,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24-321,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9e525177
429,Danny Ward,wls WAL,GK,Leicester City,29-113,1993,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d3ce0e89
430,Joel Ward,eng ENG,DF,Crystal Palace,32-349,1989,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8a7ff278
431,Adam Webster,eng ENG,DF,Brighton,27-282,1995,8.0,0,7,0,0.0,0.87,0.00,0.00,,11.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,c40b6180
432,Danny Welbeck,eng ENG,FW,Brighton,31-321,1990,7.3,0,16,3,18.8,2.20,0.41,0.00,0.00,12.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches,ce5143da
433,Ben White,eng ENG,DF,Arsenal,25-005,1997,8.2,0,1,0,0.0,0.12,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,35e413f1
434,Neco Williams,wls WAL,DF,Nott'ham Forest,21-183,2001,7.8,0,15,3,20.0,1.91,0.38,0.00,0.00,22.0,2,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,dd323728
435,Willian,br BRA,FWMF,Fulham,34-065,1988,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b9ebd03
436,Joe Willock,eng ENG,MF,Newcastle Utd,23-054,1999,8.4,0,18,4,22.2,2.14,0.48,0.00,0.00,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches,a3b03921
437,Harry Wilson,wls WAL,FWMF,Fulham,25-205,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6dc9ecd
438,Chris Wood,nz NZL,FW,Newcastle Utd,30-310,1991,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,4e9a0555
439,Joe Worrall,eng ENG,DF,Nott'ham Forest,25-276,1997,6.3,0,1,0,0.0,0.16,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,a5212312
440,Ryan Yates,eng ENG,MF,Nott'ham Forest,24-326,1997,5.5,0,12,2,16.7,2.19,0.37,0.00,0.00,15.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,c1fe2a48
441,Jordan Zemura,zw ZIM,DF,Bournemouth,22-333,1999,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e8271ad9
442,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25-302,1996,4.4,0,4,1,25.0,0.92,0.23,0.00,0.00,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,51cf8561
443,Hakim Ziyech,ma MAR,MF,Chelsea,29-208,1993,1.4,0,3,0,0.0,2.21,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6622454d
444,Kurt Zouma,fr FRA,DF,West Ham,27-351,1994,9.0,0,6,1,16.7,0.67,0.11,0.00,0.00,9.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,ce4246f5
