Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
248,Suliman Mustapha,at AUT,FW,Mainz 05,21-144,2001,0.8,0,2,0,0.0,2.65,0.00,0.00,,16.1,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,9ff8ec4a
249,Obite N'Dicka,fr FRA,DF,Eint Frankfurt,23-056,1999,8.9,0,4,0,0.0,0.45,0.00,0.00,,11.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,441197b8
250,Nathan N'Goumou,fr FRA,MFDF,M'Gladbach,22-215,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e110ea4b
251,Stanley N'Soki,fr FRA,DF,Hoffenheim,23-189,1999,4.6,0,1,1,100.0,0.22,0.22,0.00,0.00,43.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,61590953
252,Luca Netz,de GER,DF,M'Gladbach,19-153,2003,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e79269bd
253,Manuel Neuer,de GER,GK,Bayern Munich,36-202,1986,9.0,0,2,1,50.0,0.22,0.11,0.00,0.00,7.0,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,8778c910
254,Florian Neuhaus,de GER,MF,M'Gladbach,25-213,1997,5.2,0,9,2,22.2,1.73,0.38,0.00,0.00,18.2,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,36a59ba4
255,Florian Niederlechner,de GER,FWMF,Augsburg,31-356,1990,4.7,0,14,8,57.1,2.99,1.71,0.00,0.00,17.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,d6862409
256,Justin Njinmah,de GER,MF,Dortmund,21-334,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a45241d5
257,Christopher Nkunku,fr FRA,FWMF,RB Leipzig,24-335,1997,9.0,7,19,9,47.4,2.11,1.00,0.26,0.56,16.2,1,2,3,5.3,2.9,0.16,+1.7,+2.1,Matches,7c56da38
258,Lukas Nmecha,de GER,FW,Wolfsburg,23-305,1998,6.7,3,12,5,41.7,1.78,0.74,0.25,0.60,12.0,0,0,0,2.0,2.0,0.17,+1.0,+1.0,Matches,0cc5f4a5
259,Hugo Novoa,es ESP,DF,RB Leipzig,19-264,2003,1.6,0,2,1,50.0,1.24,0.62,0.00,0.00,14.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,5458f670
260,Tim Oermann,de GER,DF,Bochum,19-009,2003,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,57ec75bf
261,Finn Ole Becker,de GER,FW,Hoffenheim,22-129,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd2e62da
262,Mathias Olesen,lu LUX,MF,Köln,21-208,2001,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,86adbcc7
263,Dani Olmo,es ESP,MF,RB Leipzig,24-161,1998,3.9,0,8,2,25.0,2.07,0.52,0.00,0.00,21.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,ae44e8e2
