Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
294,Steve Mandanda,fr FRA,GK,Rennes,37-201,1985,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d2d5cc8
295,Thomas Mangani,fr FRA,MF,Ajaccio,35-169,1987,5.3,1,5,0,0.0,0.95,0.00,0.00,,29.2,1,1,2,1.7,0.1,0.03,-0.7,-0.1,Matches,c801616a
296,Faitout Maouassa,fr FRA,FWMF,Montpellier,24-101,1998,4.4,1,8,4,50.0,1.82,0.91,0.13,0.25,22.2,1,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,e54a9890
297,Vincent Marchetti,fr FRA,MF,Ajaccio,25-103,1997,8.3,0,12,3,25.0,1.44,0.36,0.00,0.00,26.0,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,740f00ac
298,Guillermo Maripán,cl CHI,DF,Monaco,28-162,1994,4.5,2,2,2,100.0,0.44,0.44,1.00,1.00,8.0,0,0,0,0.2,0.2,0.11,+1.8,+1.8,Matches,d9764034
299,Marquinhos,br BRA,DF,Paris S-G,28-154,1994,9.0,1,9,3,33.3,1.00,0.33,0.11,0.33,6.6,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches,d5f2f82b
300,Jonas Martin,fr FRA,MF,Lille,32-189,1990,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,468fdbad
301,Gelson Martins,pt POR,FWMF,Monaco,27-157,1995,1.2,0,5,2,40.0,4.05,1.62,0.00,0.00,15.1,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,3ef0fa48
302,Eliot Matazo,be BEL,MF,Monaco,20-242,2002,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15944afd
303,Chrislain Matsima,fr FRA,DF,Lorient,20-153,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cf1ef7ec
